text,intent,language
hello,greeting,english
hello chatbot,greeting,english
hello assistant,greeting,english
hello friend,greeting,english
hello there,greeting,english
hi,greeting,english
hi chatbot,greeting,english
hi assistant,greeting,english
hi friend,greeting,english
hi there,greeting,english
hey,greeting,english
hey chatbot,greeting,english
hey assistant,greeting,english
hey friend,greeting,english
hey there,greeting,english
good morning,greeting,english
good morning chatbot,greeting,english
good morning assistant,greeting,english
good morning friend,greeting,english
good morning there,greeting,english
good evening,greeting,english
good evening chatbot,greeting,english
good evening assistant,greeting,english
good evening friend,greeting,english
good evening there,greeting,english
good afternoon,greeting,english
good afternoon chatbot,greeting,english
good afternoon assistant,greeting,english
good afternoon friend,greeting,english
good afternoon there,greeting,english
how are you,greeting,english
how are you doing,greeting,english
how is it going,greeting,english
are you there,greeting,english
hello can you hear me,greeting,english
hi there assistant,greeting,english
hello my friend,greeting,english
hi can you help,greeting,english
hey are you online,greeting,english
hello support bot,greeting,english
thank you,thanks,english
thanks,thanks,english
many thanks,thanks,english
thanks a lot,thanks,english
thank you so much,thanks,english
thanks for your help,thanks,english
appreciate it,thanks,english
thank you chatbot,thanks,english
thanks assistant,thanks,english
many many thanks,thanks,english
thanks for the information,thanks,english
thank you for the support,thanks,english
thanks for guiding me,thanks,english
thanks for sharing details,thanks,english
bye,goodbye,english
goodbye,goodbye,english
see you,goodbye,english
see you later,goodbye,english
talk to you later,goodbye,english
bye for now,goodbye,english
good night,goodbye,english
catch you later,goodbye,english
okay bye,goodbye,english
thanks bye,goodbye,english
see you again,goodbye,english
goodbye assistant,goodbye,english
bye chatbot,goodbye,english
help me,help,english
i need help,help,english
can you help me,help,english
please help me,help,english
i need your help,help,english
can you guide me,help,english
i need support,help,english
please assist me,help,english
help me with my query,help,english
i want some help,help,english
could you help me,help,english
can you support me,help,english
please guide me,help,english
i need assistance now,help,english
who are you,chatbot_info,english
what is your name,chatbot_info,english
are you a chatbot,chatbot_info,english
what can you do,chatbot_info,english
tell me about yourself,chatbot_info,english
are you an ai chatbot,chatbot_info,english
what is this chatbot,chatbot_info,english
who created you,chatbot_info,english
what kind of assistant are you,chatbot_info,english
introduce yourself,chatbot_info,english
what services do you provide,chatbot_info,english
what are your features,chatbot_info,english
are you multilingual,chatbot_info,english
set reminder,personal_assistant,english
open notes,personal_assistant,english
tell me today task,personal_assistant,english
create a reminder,personal_assistant,english
show my notes,personal_assistant,english
what is my task today,personal_assistant,english
add a reminder,personal_assistant,english
open my notebook,personal_assistant,english
save this note,personal_assistant,english
show my reminders,personal_assistant,english
list today tasks,personal_assistant,english
manage my notes,personal_assistant,english
help me as personal assistant,personal_assistant,english
schedule a reminder,personal_assistant,english
show hospital near me,search_service,english
show hospital nearby,search_service,english
show hospital in my area,search_service,english
show hospital around me,search_service,english
share hospital near me,search_service,english
share hospital nearby,search_service,english
share hospital in my area,search_service,english
share hospital around me,search_service,english
give hospital near me,search_service,english
give hospital nearby,search_service,english
give hospital in my area,search_service,english
give hospital around me,search_service,english
find hospital near me,search_service,english
find hospital nearby,search_service,english
find hospital in my area,search_service,english
find hospital around me,search_service,english
list hospital near me,search_service,english
list hospital nearby,search_service,english
list hospital in my area,search_service,english
list hospital around me,search_service,english
display hospital near me,search_service,english
display hospital nearby,search_service,english
display hospital in my area,search_service,english
display hospital around me,search_service,english
tell me hospital near me,search_service,english
tell me hospital nearby,search_service,english
tell me hospital in my area,search_service,english
tell me hospital around me,search_service,english
can you show hospital near me,search_service,english
can you show hospital nearby,search_service,english
can you show hospital in my area,search_service,english
can you show hospital around me,search_service,english
please share hospital near me,search_service,english
please share hospital nearby,search_service,english
please share hospital in my area,search_service,english
please share hospital around me,search_service,english
i need hospital near me,search_service,english
i need hospital nearby,search_service,english
i need hospital in my area,search_service,english
i need hospital around me,search_service,english
hospital list,search_service,english
nearest hospital,search_service,english
hospital near me,search_service,english
find hospital for me,search_service,english
show clinic near me,search_service,english
show clinic nearby,search_service,english
show clinic in my area,search_service,english
show clinic around me,search_service,english
share clinic near me,search_service,english
share clinic nearby,search_service,english
share clinic in my area,search_service,english
share clinic around me,search_service,english
give clinic near me,search_service,english
give clinic nearby,search_service,english
give clinic in my area,search_service,english
give clinic around me,search_service,english
find clinic near me,search_service,english
find clinic nearby,search_service,english
find clinic in my area,search_service,english
find clinic around me,search_service,english
list clinic near me,search_service,english
list clinic nearby,search_service,english
list clinic in my area,search_service,english
list clinic around me,search_service,english
display clinic near me,search_service,english
display clinic nearby,search_service,english
display clinic in my area,search_service,english
display clinic around me,search_service,english
tell me clinic near me,search_service,english
tell me clinic nearby,search_service,english
tell me clinic in my area,search_service,english
tell me clinic around me,search_service,english
can you show clinic near me,search_service,english
can you show clinic nearby,search_service,english
can you show clinic in my area,search_service,english
can you show clinic around me,search_service,english
please share clinic near me,search_service,english
please share clinic nearby,search_service,english
please share clinic in my area,search_service,english
please share clinic around me,search_service,english
i need clinic near me,search_service,english
i need clinic nearby,search_service,english
i need clinic in my area,search_service,english
i need clinic around me,search_service,english
clinic list,search_service,english
nearest clinic,search_service,english
clinic near me,search_service,english
find clinic for me,search_service,english
show medical center near me,search_service,english
show medical center nearby,search_service,english
show medical center in my area,search_service,english
show medical center around me,search_service,english
share medical center near me,search_service,english
share medical center nearby,search_service,english
share medical center in my area,search_service,english
share medical center around me,search_service,english
give medical center near me,search_service,english
give medical center nearby,search_service,english
give medical center in my area,search_service,english
give medical center around me,search_service,english
find medical center near me,search_service,english
find medical center nearby,search_service,english
find medical center in my area,search_service,english
find medical center around me,search_service,english
list medical center near me,search_service,english
list medical center nearby,search_service,english
list medical center in my area,search_service,english
list medical center around me,search_service,english
display medical center near me,search_service,english
display medical center nearby,search_service,english
display medical center in my area,search_service,english
display medical center around me,search_service,english
tell me medical center near me,search_service,english
tell me medical center nearby,search_service,english
tell me medical center in my area,search_service,english
tell me medical center around me,search_service,english
can you show medical center near me,search_service,english
can you show medical center nearby,search_service,english
can you show medical center in my area,search_service,english
can you show medical center around me,search_service,english
please share medical center near me,search_service,english
please share medical center nearby,search_service,english
please share medical center in my area,search_service,english
please share medical center around me,search_service,english
i need medical center near me,search_service,english
i need medical center nearby,search_service,english
i need medical center in my area,search_service,english
i need medical center around me,search_service,english
medical center list,search_service,english
nearest medical center,search_service,english
medical center near me,search_service,english
find medical center for me,search_service,english
show multispeciality hospital near me,search_service,english
show multispeciality hospital nearby,search_service,english
show multispeciality hospital in my area,search_service,english
show multispeciality hospital around me,search_service,english
share multispeciality hospital near me,search_service,english
share multispeciality hospital nearby,search_service,english
share multispeciality hospital in my area,search_service,english
share multispeciality hospital around me,search_service,english
give multispeciality hospital near me,search_service,english
give multispeciality hospital nearby,search_service,english
give multispeciality hospital in my area,search_service,english
give multispeciality hospital around me,search_service,english
find multispeciality hospital near me,search_service,english
find multispeciality hospital nearby,search_service,english
find multispeciality hospital in my area,search_service,english
find multispeciality hospital around me,search_service,english
list multispeciality hospital near me,search_service,english
list multispeciality hospital nearby,search_service,english
list multispeciality hospital in my area,search_service,english
list multispeciality hospital around me,search_service,english
display multispeciality hospital near me,search_service,english
display multispeciality hospital nearby,search_service,english
display multispeciality hospital in my area,search_service,english
display multispeciality hospital around me,search_service,english
tell me multispeciality hospital near me,search_service,english
tell me multispeciality hospital nearby,search_service,english
tell me multispeciality hospital in my area,search_service,english
tell me multispeciality hospital around me,search_service,english
can you show multispeciality hospital near me,search_service,english
can you show multispeciality hospital nearby,search_service,english
can you show multispeciality hospital in my area,search_service,english
can you show multispeciality hospital around me,search_service,english
please share multispeciality hospital near me,search_service,english
please share multispeciality hospital nearby,search_service,english
please share multispeciality hospital in my area,search_service,english
please share multispeciality hospital around me,search_service,english
i need multispeciality hospital near me,search_service,english
i need multispeciality hospital nearby,search_service,english
i need multispeciality hospital in my area,search_service,english
i need multispeciality hospital around me,search_service,english
multispeciality hospital list,search_service,english
nearest multispeciality hospital,search_service,english
multispeciality hospital near me,search_service,english
find multispeciality hospital for me,search_service,english
show school near me,search_service,english
show school nearby,search_service,english
show school in my area,search_service,english
show school around me,search_service,english
share school near me,search_service,english
share school nearby,search_service,english
share school in my area,search_service,english
share school around me,search_service,english
give school near me,search_service,english
give school nearby,search_service,english
give school in my area,search_service,english
give school around me,search_service,english
find school near me,search_service,english
find school nearby,search_service,english
find school in my area,search_service,english
find school around me,search_service,english
list school near me,search_service,english
list school nearby,search_service,english
list school in my area,search_service,english
list school around me,search_service,english
display school near me,search_service,english
display school nearby,search_service,english
display school in my area,search_service,english
display school around me,search_service,english
tell me school near me,search_service,english
tell me school nearby,search_service,english
tell me school in my area,search_service,english
tell me school around me,search_service,english
can you show school near me,search_service,english
can you show school nearby,search_service,english
can you show school in my area,search_service,english
can you show school around me,search_service,english
please share school near me,search_service,english
please share school nearby,search_service,english
please share school in my area,search_service,english
please share school around me,search_service,english
i need school near me,search_service,english
i need school nearby,search_service,english
i need school in my area,search_service,english
i need school around me,search_service,english
school list,search_service,english
nearest school,search_service,english
school near me,search_service,english
find school for me,search_service,english
show academy near me,search_service,english
show academy nearby,search_service,english
show academy in my area,search_service,english
show academy around me,search_service,english
share academy near me,search_service,english
share academy nearby,search_service,english
share academy in my area,search_service,english
share academy around me,search_service,english
give academy near me,search_service,english
give academy nearby,search_service,english
give academy in my area,search_service,english
give academy around me,search_service,english
find academy near me,search_service,english
find academy nearby,search_service,english
find academy in my area,search_service,english
find academy around me,search_service,english
list academy near me,search_service,english
list academy nearby,search_service,english
list academy in my area,search_service,english
list academy around me,search_service,english
display academy near me,search_service,english
display academy nearby,search_service,english
display academy in my area,search_service,english
display academy around me,search_service,english
tell me academy near me,search_service,english
tell me academy nearby,search_service,english
tell me academy in my area,search_service,english
tell me academy around me,search_service,english
can you show academy near me,search_service,english
can you show academy nearby,search_service,english
can you show academy in my area,search_service,english
can you show academy around me,search_service,english
please share academy near me,search_service,english
please share academy nearby,search_service,english
please share academy in my area,search_service,english
please share academy around me,search_service,english
i need academy near me,search_service,english
i need academy nearby,search_service,english
i need academy in my area,search_service,english
i need academy around me,search_service,english
academy list,search_service,english
nearest academy,search_service,english
academy near me,search_service,english
find academy for me,search_service,english
show public school near me,search_service,english
show public school nearby,search_service,english
show public school in my area,search_service,english
show public school around me,search_service,english
share public school near me,search_service,english
share public school nearby,search_service,english
share public school in my area,search_service,english
share public school around me,search_service,english
give public school near me,search_service,english
give public school nearby,search_service,english
give public school in my area,search_service,english
give public school around me,search_service,english
find public school near me,search_service,english
find public school nearby,search_service,english
find public school in my area,search_service,english
find public school around me,search_service,english
list public school near me,search_service,english
list public school nearby,search_service,english
list public school in my area,search_service,english
list public school around me,search_service,english
display public school near me,search_service,english
display public school nearby,search_service,english
display public school in my area,search_service,english
display public school around me,search_service,english
tell me public school near me,search_service,english
tell me public school nearby,search_service,english
tell me public school in my area,search_service,english
tell me public school around me,search_service,english
can you show public school near me,search_service,english
can you show public school nearby,search_service,english
can you show public school in my area,search_service,english
can you show public school around me,search_service,english
please share public school near me,search_service,english
please share public school nearby,search_service,english
please share public school in my area,search_service,english
please share public school around me,search_service,english
i need public school near me,search_service,english
i need public school nearby,search_service,english
i need public school in my area,search_service,english
i need public school around me,search_service,english
public school list,search_service,english
nearest public school,search_service,english
public school near me,search_service,english
find public school for me,search_service,english
show high school near me,search_service,english
show high school nearby,search_service,english
show high school in my area,search_service,english
show high school around me,search_service,english
share high school near me,search_service,english
share high school nearby,search_service,english
share high school in my area,search_service,english
share high school around me,search_service,english
give high school near me,search_service,english
give high school nearby,search_service,english
give high school in my area,search_service,english
give high school around me,search_service,english
find high school near me,search_service,english
find high school nearby,search_service,english
find high school in my area,search_service,english
find high school around me,search_service,english
list high school near me,search_service,english
list high school nearby,search_service,english
list high school in my area,search_service,english
list high school around me,search_service,english
display high school near me,search_service,english
display high school nearby,search_service,english
display high school in my area,search_service,english
display high school around me,search_service,english
tell me high school near me,search_service,english
tell me high school nearby,search_service,english
tell me high school in my area,search_service,english
tell me high school around me,search_service,english
can you show high school near me,search_service,english
can you show high school nearby,search_service,english
can you show high school in my area,search_service,english
can you show high school around me,search_service,english
please share high school near me,search_service,english
please share high school nearby,search_service,english
please share high school in my area,search_service,english
please share high school around me,search_service,english
i need high school near me,search_service,english
i need high school nearby,search_service,english
i need high school in my area,search_service,english
i need high school around me,search_service,english
high school list,search_service,english
nearest high school,search_service,english
high school near me,search_service,english
find high school for me,search_service,english
show bank near me,search_service,english
show bank nearby,search_service,english
show bank in my area,search_service,english
show bank around me,search_service,english
share bank near me,search_service,english
share bank nearby,search_service,english
share bank in my area,search_service,english
share bank around me,search_service,english
give bank near me,search_service,english
give bank nearby,search_service,english
give bank in my area,search_service,english
give bank around me,search_service,english
find bank near me,search_service,english
find bank nearby,search_service,english
find bank in my area,search_service,english
find bank around me,search_service,english
list bank near me,search_service,english
list bank nearby,search_service,english
list bank in my area,search_service,english
list bank around me,search_service,english
display bank near me,search_service,english
display bank nearby,search_service,english
display bank in my area,search_service,english
display bank around me,search_service,english
tell me bank near me,search_service,english
tell me bank nearby,search_service,english
tell me bank in my area,search_service,english
tell me bank around me,search_service,english
can you show bank near me,search_service,english
can you show bank nearby,search_service,english
can you show bank in my area,search_service,english
can you show bank around me,search_service,english
please share bank near me,search_service,english
please share bank nearby,search_service,english
please share bank in my area,search_service,english
please share bank around me,search_service,english
i need bank near me,search_service,english
i need bank nearby,search_service,english
i need bank in my area,search_service,english
i need bank around me,search_service,english
bank list,search_service,english
nearest bank,search_service,english
bank near me,search_service,english
find bank for me,search_service,english
show atm near me,search_service,english
show atm nearby,search_service,english
show atm in my area,search_service,english
show atm around me,search_service,english
share atm near me,search_service,english
share atm nearby,search_service,english
share atm in my area,search_service,english
share atm around me,search_service,english
give atm near me,search_service,english
give atm nearby,search_service,english
give atm in my area,search_service,english
give atm around me,search_service,english
find atm near me,search_service,english
find atm nearby,search_service,english
find atm in my area,search_service,english
find atm around me,search_service,english
list atm near me,search_service,english
list atm nearby,search_service,english
list atm in my area,search_service,english
list atm around me,search_service,english
display atm near me,search_service,english
display atm nearby,search_service,english
display atm in my area,search_service,english
display atm around me,search_service,english
tell me atm near me,search_service,english
tell me atm nearby,search_service,english
tell me atm in my area,search_service,english
tell me atm around me,search_service,english
can you show atm near me,search_service,english
can you show atm nearby,search_service,english
can you show atm in my area,search_service,english
can you show atm around me,search_service,english
please share atm near me,search_service,english
please share atm nearby,search_service,english
please share atm in my area,search_service,english
please share atm around me,search_service,english
i need atm near me,search_service,english
i need atm nearby,search_service,english
i need atm in my area,search_service,english
i need atm around me,search_service,english
atm list,search_service,english
nearest atm,search_service,english
atm near me,search_service,english
find atm for me,search_service,english
show branch near me,search_service,english
show branch nearby,search_service,english
show branch in my area,search_service,english
show branch around me,search_service,english
share branch near me,search_service,english
share branch nearby,search_service,english
share branch in my area,search_service,english
share branch around me,search_service,english
give branch near me,search_service,english
give branch nearby,search_service,english
give branch in my area,search_service,english
give branch around me,search_service,english
find branch near me,search_service,english
find branch nearby,search_service,english
find branch in my area,search_service,english
find branch around me,search_service,english
list branch near me,search_service,english
list branch nearby,search_service,english
list branch in my area,search_service,english
list branch around me,search_service,english
display branch near me,search_service,english
display branch nearby,search_service,english
display branch in my area,search_service,english
display branch around me,search_service,english
tell me branch near me,search_service,english
tell me branch nearby,search_service,english
tell me branch in my area,search_service,english
tell me branch around me,search_service,english
can you show branch near me,search_service,english
can you show branch nearby,search_service,english
can you show branch in my area,search_service,english
can you show branch around me,search_service,english
please share branch near me,search_service,english
please share branch nearby,search_service,english
please share branch in my area,search_service,english
please share branch around me,search_service,english
i need branch near me,search_service,english
i need branch nearby,search_service,english
i need branch in my area,search_service,english
i need branch around me,search_service,english
branch list,search_service,english
nearest branch,search_service,english
branch near me,search_service,english
find branch for me,search_service,english
show finance office near me,search_service,english
show finance office nearby,search_service,english
show finance office in my area,search_service,english
show finance office around me,search_service,english
share finance office near me,search_service,english
share finance office nearby,search_service,english
share finance office in my area,search_service,english
share finance office around me,search_service,english
give finance office near me,search_service,english
give finance office nearby,search_service,english
give finance office in my area,search_service,english
give finance office around me,search_service,english
find finance office near me,search_service,english
find finance office nearby,search_service,english
find finance office in my area,search_service,english
find finance office around me,search_service,english
list finance office near me,search_service,english
list finance office nearby,search_service,english
list finance office in my area,search_service,english
list finance office around me,search_service,english
display finance office near me,search_service,english
display finance office nearby,search_service,english
display finance office in my area,search_service,english
display finance office around me,search_service,english
tell me finance office near me,search_service,english
tell me finance office nearby,search_service,english
tell me finance office in my area,search_service,english
tell me finance office around me,search_service,english
can you show finance office near me,search_service,english
can you show finance office nearby,search_service,english
can you show finance office in my area,search_service,english
can you show finance office around me,search_service,english
please share finance office near me,search_service,english
please share finance office nearby,search_service,english
please share finance office in my area,search_service,english
please share finance office around me,search_service,english
i need finance office near me,search_service,english
i need finance office nearby,search_service,english
i need finance office in my area,search_service,english
i need finance office around me,search_service,english
finance office list,search_service,english
nearest finance office,search_service,english
finance office near me,search_service,english
find finance office for me,search_service,english
show police station near me,search_service,english
show police station nearby,search_service,english
show police station in my area,search_service,english
show police station around me,search_service,english
share police station near me,search_service,english
share police station nearby,search_service,english
share police station in my area,search_service,english
share police station around me,search_service,english
give police station near me,search_service,english
give police station nearby,search_service,english
give police station in my area,search_service,english
give police station around me,search_service,english
find police station near me,search_service,english
find police station nearby,search_service,english
find police station in my area,search_service,english
find police station around me,search_service,english
list police station near me,search_service,english
list police station nearby,search_service,english
list police station in my area,search_service,english
list police station around me,search_service,english
display police station near me,search_service,english
display police station nearby,search_service,english
display police station in my area,search_service,english
display police station around me,search_service,english
tell me police station near me,search_service,english
tell me police station nearby,search_service,english
tell me police station in my area,search_service,english
tell me police station around me,search_service,english
can you show police station near me,search_service,english
can you show police station nearby,search_service,english
can you show police station in my area,search_service,english
can you show police station around me,search_service,english
please share police station near me,search_service,english
please share police station nearby,search_service,english
please share police station in my area,search_service,english
please share police station around me,search_service,english
i need police station near me,search_service,english
i need police station nearby,search_service,english
i need police station in my area,search_service,english
i need police station around me,search_service,english
police station list,search_service,english
nearest police station,search_service,english
police station near me,search_service,english
find police station for me,search_service,english
show police office near me,search_service,english
show police office nearby,search_service,english
show police office in my area,search_service,english
show police office around me,search_service,english
share police office near me,search_service,english
share police office nearby,search_service,english
share police office in my area,search_service,english
share police office around me,search_service,english
give police office near me,search_service,english
give police office nearby,search_service,english
give police office in my area,search_service,english
give police office around me,search_service,english
find police office near me,search_service,english
find police office nearby,search_service,english
find police office in my area,search_service,english
find police office around me,search_service,english
list police office near me,search_service,english
list police office nearby,search_service,english
list police office in my area,search_service,english
list police office around me,search_service,english
display police office near me,search_service,english
display police office nearby,search_service,english
display police office in my area,search_service,english
display police office around me,search_service,english
tell me police office near me,search_service,english
tell me police office nearby,search_service,english
tell me police office in my area,search_service,english
tell me police office around me,search_service,english
can you show police office near me,search_service,english
can you show police office nearby,search_service,english
can you show police office in my area,search_service,english
can you show police office around me,search_service,english
please share police office near me,search_service,english
please share police office nearby,search_service,english
please share police office in my area,search_service,english
please share police office around me,search_service,english
i need police office near me,search_service,english
i need police office nearby,search_service,english
i need police office in my area,search_service,english
i need police office around me,search_service,english
police office list,search_service,english
nearest police office,search_service,english
police office near me,search_service,english
find police office for me,search_service,english
show thana near me,search_service,english
show thana nearby,search_service,english
